ytitle                         	首贴提要                                                                  	发帖人           	回复数  	ysendtime	yacquitime         	采集日期               
唐嫣眼光真差                         	新签艺人是不是太丑了，简直污辱我的眼                                                    	七七QQq123      	1207 	21:24    	2016-11-24 21:24:40	2016-11-24 21:24:40
许魏洲 现身首都机场，零下气温也难挡粉丝热情，再次展现超高人气	11月23日，许魏洲 现身首都机场，北京零下的气温也难挡粉丝的热情，再次展现超高人气。当天#许魏洲# 身                  	奏凯君           	22   	21:24    	2016-11-24 21:24:40	2016-11-24 21:24:40
来推荐一下你喜欢的作家                    	写写理由                                                                  	会掉下巴的小鹿       	46   	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
【娱乐圈】# 赵丽颖楚乔传#独家片花抢先看          	                                                                      	暖七把澡          	120  	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
最希望合作的男女演员                     	把目前网上呼声最高，最希望合作一把的男女演员整理了下讲真，真不怕我们脑洞太大，就怕我们没脑洞                        	七十岁演唱会        	1635 	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
乘风破浪电影海报拍摄！期待电影上映！             	韩寒导演新作#乘风破浪# 正在热拍，几位主演齐聚拍摄海报。#邓超# 身着工装外套、牛仔裤，#彭于晏# 穿                  	善心永存6         	267  	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
盘点我看过无数遍且不用脱进度条的电视剧            	今年的电视剧说实话整体一般般，没什么爆剧真是太正常了。 唯一看完的电视剧是女医了，可以看出道服                       	蓝莓巧克力的家       	107  	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
欧洲攻略剧组日常，这剧组真会玩，好欢乐。           	假人游戏。这是吴亦凡和美糖第一次互动吧。老虎也玩的很嗨啊。　　 　　　　　　　　 .★ * ★.. 　　                  	梓墨smile12     	105  	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
唐嫣的成功绝非是偶然的                    	强者，都是含泪奔跑的人 唯累过，方得闲；唯苦过，方知甜                                           	earth地久天长     	293  	21:24    	2016-11-24 21:24:41	2016-11-24 21:24:41
请问圈吧为什么没有佟丽娅同学的丝毫热度            	佟丽娅 刚刚获得金鹰视后 这一年成绩也是可圈可点，唐人街探案中的表现也是叫人眼前一亮 戏路很宽，                      	_北城南笙_        	84   	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
【王源成长记录楼】爱上一朵未名的花，爱上他源源生长的枝桠   	多少青春不在，多少情怀更改，你依然，拥有我的爱 @tf家的王源                                       	Aurore的星星     	12035	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
赵丽颖突然单方面关注了吴亦凡微博，这到底怎么回事？      	赵丽颖的微博关注名单，赫然可见吴亦凡，点开进入吴亦凡的微博里并没有关注赵丽颖，这到底是怎么回                        	BLUE1385      	32   	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
陈伟霆和迪丽热巴实绩对比，到底谁倒贴？            	                                                                      	醉生梦死zzhxwq    	930  	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
【纳新公告】实时热点组招新了，没有找到组织的看过来      	实时热点组主要负责推送当天实时热点新闻及话题，涉及范围广泛，娱乐，社会，体育，政治，经济都可                        	_北城南笙_        	12   	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
高圆圆手下艺人家暴女友后流产，你们不觉得那女的活该吗？    	一开始我是同情女的，觉得遇见人渣了。但是后面了解了。我觉得她活该啊。马浩东都打了她好几次。还                        	落泪的樱花白羊       	163  	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
【闫伟视界点评】这些当红男星，究竟好在哪里？         	广电编辑的点评，有你家吗？                                                         	轩辕杨浩          	718  	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
《锦绣未央》唐嫣被扎针虐刑 同样是被扎针 差距怎么就这么大呢 	《锦绣未央》的剧情中，未央被恶毒的李长乐扎针了，天呐，十指连心，想想都痛死了，看到细针的时候                        	问题097         	149  	21:24    	2016-11-24 21:24:42	2016-11-24 21:24:42
赵丽颖目前实绩，看样子很厉害啊→_→             	奖项、收视率都很不错。 票房还要加油，不过目前票房底盘4000w还是不错的。 除了旅游大使这种个人形象                   	做一只安静的兔       	767  	21:24    	2016-11-24 21:24:43	2016-11-24 21:24:43
Angelababy颜值怎么样？360度无死角吗？      	Angelababy号称360无死角美女，个人也是比较喜欢她的！不过，最近很多娱乐网站（酱梨君：http://www.tzmlb.com/n	不停79          	3    	21:24    	2016-11-24 21:24:43	2016-11-24 21:24:43
刘恺威出轨王鸥早就有蛛丝马迹                 	                                                                      	梅川_NEIKU      	4527 	21:24    	2016-11-24 21:24:43	2016-11-24 21:24:43
