"关键词","近一天整体指数","近一天PC指数","近一天移动指数","7天均指数","7天PC均指数","7天移动均指数","30天均指数","30天PC均指数","30天移动均指数","7天整体同比","7天整体环比","7天PC同比","7天PC环比","7天移动同比","7天移动环比","30天整体同比","30天整体环比","30天PC同比","30天PC环比","30天移动同比","30天移动环比"
"三少爷的剑","15816","6011","9805","16759","6454","10305","28893","8461","20432","850%↑","-60%↓","718%↑","-52%↓","957%↑","-63%↓","1549%↑","694%↑","941%↑","550%↑","2075%↑","774%↑"
"佩小姐的奇幻城堡","18152","6913","11239","18483","6575","11908","26450","7195","19255","-","-55%↓","-","-46%↓","-","-59%↓","-","688%↑","-","344%↑","-","1008%↑"
"你的名字。","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"爱你的人","371","118","253","350","114","236","505","165","340","46%↑","-21%↓","41%↑","-15%↓","49%↑","-24%↓","86%↑","78%↑","75%↑","70%↑","92%↑","82%↑"
"间谍同盟","2681","1149","1532","2769","1141","1628","35234","23295","11939","-","-58%↓","-","-57%↓","-","-59%↓","-","165%↑","-","98%↑","-","683%↑"
"热土悲歌","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"骆驼客","157","83","74","177","86","91","210","98","112","3%↑","0","-4%↓","0","11%↑","0","16%↑","-30%↓","5%↑","-7%↓","27%↑","-42%↓"
"越囧","303","120","183","346","142","204","872","325","547","-","-57%↓","-","-45%↓","-","-63%↓","-","-","-","-","-","-"
"夏威夷之恋","560","219","341","465","181","284","1212","344","868","172%↑","-13%↓","106%↑","6%↑","242%↑","-23%↓","610%↑","247%↑","289%↑","138%↑","955%↑","325%↑"
"怨灵地下室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"最萌身高差","2950","863","2087","2704","868","1836","4544","1134","3410","42%↑","-23%↓","-3%↓","-33%↓","84%↑","-17%↓","168%↑","124%↑","52%↑","96%↑","258%↑","136%↑"
"冲天火","1779","849","930","1759","824","935","8631","3231","5400","-","-17%↓","-","-9%↓","-","-24%↓","-","59%↑","-","7%↑","-","127%↑"
"海洋奇缘","22633","5437","17196","14665","4599","10066","23977","6352","17625","-","-27%↓","-","-22%↓","-","-29%↓","-","1349%↑","-","840%↑","-","1699%↑"
"神奇动物在哪里","33050","14072","18978","32291","13891","18400","92123","27175","64948","2844%↑","-48%↓","2252%↑","-37%↓","3534%↑","-54%↓","16370%↑","1553%↑","9657%↑","1172%↑","23026%↑","1789%↑"
"少年梦","220","80","140","241","104","137","263","110","153","-8%↓","-7%↓","-10%↓","-6%↓","-6%↓","-8%↓","-6%↓","-2%↓","-11%↓","-8%↓","-2%↓","2%↑"
"白云桥","572","211","361","621","267","354","4933","2791","2142","-","0","-","-22%↓","-","24%↑","-","-14%↓","-","-17%↓","-","-10%↓"
"武林探秘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"辣警霸王花","4548","1162","3386","4823","1272","3551","6055","2325","3730","-","-20%↓","-","-42%↓","-","-8%↓","-","669%↑","-","612%↑","-","710%↑"
"我是处女座","2356","693","1663","1649","562","1087","1334","396","938","-","76%↑","-","109%↑","-","62%↑","-","-","-","-","-","-"
"阿拉丁与神灯","1311","465","846","1218","442","776","3464","810","2654","-","-9%↓","-","-11%↓","-","-8%↓","-","46%↑","-","87%↑","-","37%↑"
"红颜容","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"深海浩劫","3379","1997","1382","3018","1774","1244","7255","2996","4259","-","-10%↓","-","-7%↓","-","-14%↓","-","23%↑","-","44%↑","-","12%↑"
"最后证言","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"非常绑架","61","0","61","100","45","55","100","39","61","-","73%↑","-","148%↑","-","39%↑","739%↑","-35%↓","-","-42%↓","413%↑","-28%↓"
"脱单宝典","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
